Student_ID,Study_Hours_Per_Day,Extracurricular_Hours_Per_Day,Sleep_Hours_Per_Day,Social_Hours_Per_Day,Physical_Activity_Hours_Per_Day,GPA,GPA_Quartile,Total_Hours,Stress_Level_Moderate,Stress_Level_High,Study_Sleep_Ratio,Active_Hours
1,6.9,3.8,8.7,2.8,1.8,2.99,Q2,24.0,True,False,0.7931034482758622,15.3
2,5.3,3.5,8.0,4.2,3.0,2.75,Q1_Lowest,24.0,False,False,0.6625,16.0
3,5.1,3.9,9.2,1.2,4.6,2.67,Q1_Lowest,24.0,False,False,0.5543478260869565,14.799999999999999
4,6.5,2.1,7.2,1.7,6.5,2.88,Q1_Lowest,24.0,True,False,0.9027777777777778,16.8
5,8.1,0.6,6.5,2.2,6.6,3.51,Q4_Highest,24.0,False,True,1.2461538461538462,17.5
6,6.0,2.1,8.0,0.3,7.6,2.85,Q1_Lowest,24.0,True,False,0.75,16.0
7,8.0,0.7,5.3,5.7,4.3,3.08,Q2,24.0,False,True,1.509433962264151,18.7
8,8.4,1.8,5.6,3.0,5.2,3.2,Q3,24.0,False,True,1.5000000000000002,18.400000000000002
9,5.2,3.6,6.3,4.0,4.9,2.82,Q1_Lowest,24.0,False,False,0.8253968253968255,17.700000000000003
10,7.7,0.7,9.8,4.5,1.3,2.76,Q1_Lowest,24.0,True,False,0.7857142857142857,14.2
11,9.7,3.6,8.0,2.5,0.2,3.43,Q4_Highest,24.0,False,True,1.2125,15.999999999999998
13,6.4,2.2,5.7,4.8,4.9,2.82,Q1_Lowest,24.0,False,True,1.1228070175438596,18.3
14,5.0,3.3,8.5,4.4,2.8,2.87,Q1_Lowest,24.0,False,False,0.5882352941176471,15.5
15,8.9,0.3,6.8,0.7,7.3,3.4,Q4_Highest,24.0,False,True,1.3088235294117647,17.2
16,6.7,0.3,6.6,2.0,8.4,3.2,Q3,24.0,True,False,1.0151515151515151,17.400000000000002
19,7.6,1.7,5.1,0.6,9.0,3.16,Q3,24.0,False,True,1.4901960784313726,18.900000000000002
20,6.6,2.0,9.5,1.5,4.4,2.93,Q2,24.0,True,False,0.6947368421052631,14.5
21,7.1,3.0,6.1,0.5,7.3,2.9,Q2,24.0,True,False,1.1639344262295082,17.9
22,9.6,3.2,8.2,2.6,0.4,3.34,Q4_Highest,23.999999999999996,False,True,1.1707317073170733,15.799999999999999
23,9.0,0.7,9.5,2.6,2.2,3.21,Q3,24.0,False,True,0.9473684210526315,14.499999999999998
24,6.1,1.7,9.1,5.2,1.9,2.85,Q1_Lowest,23.999999999999996,True,False,0.6703296703296703,14.899999999999999
25,5.0,2.0,7.1,1.3,8.6,2.68,Q1_Lowest,24.0,False,False,0.7042253521126761,16.9
26,9.7,1.3,7.6,3.8,1.6,3.29,Q3,24.0,False,True,1.276315789473684,16.4
27,6.8,3.9,9.8,0.9,2.6,2.64,Q1_Lowest,24.0,True,False,0.693877551020408,14.200000000000001
28,6.4,0.1,8.0,3.0,6.5,2.95,Q2,24.0,True,False,0.8,16.0
29,5.3,1.1,9.5,1.4,6.7,2.79,Q1_Lowest,24.0,False,False,0.5578947368421052,14.5
31,6.2,2.9,6.8,3.8,4.3,3.05,Q2,24.0,True,False,0.911764705882353,17.2
32,5.5,3.3,6.6,1.1,7.5,3.26,Q3,24.0,False,False,0.8333333333333334,17.400000000000002
33,5.2,2.4,8.4,0.1,7.9,2.47,Q1_Lowest,24.0,False,False,0.6190476190476191,15.600000000000001
34,8.2,0.7,8.5,2.3,4.3,3.24,Q3,24.0,False,True,0.9647058823529411,15.5
35,9.7,0.6,6.7,0.7,6.3,3.62,Q4_Highest,24.0,False,True,1.4477611940298507,17.3
36,9.1,2.2,7.6,1.2,3.9,3.12,Q3,23.999999999999996,False,True,1.1973684210526316,16.4
37,5.5,3.6,9.5,3.4,2.0,2.58,Q1_Lowest,24.0,False,False,0.5789473684210527,14.5
38,8.6,3.6,9.4,1.9,0.5,3.03,Q2,24.0,False,True,0.9148936170212765,14.6
39,8.2,0.3,5.8,5.4,4.3,3.29,Q3,24.0,False,True,1.4137931034482758,18.200000000000003
40,5.0,0.6,7.7,4.2,6.5,2.61,Q1_Lowest,24.0,False,False,0.6493506493506493,16.3
41,8.3,0.9,8.6,1.4,4.8,3.48,Q4_Highest,23.999999999999996,False,True,0.9651162790697676,15.400000000000002
42,8.2,3.4,8.3,2.3,1.8,3.07,Q2,24.0,False,True,0.9879518072289155,15.7
43,5.5,1.5,6.3,1.5,9.2,2.81,Q1_Lowest,24.0,False,False,0.873015873015873,17.7
44,9.5,2.5,9.0,1.5,1.5,3.49,Q4_Highest,24.0,False,True,1.0555555555555556,15.0
45,7.9,2.0,6.0,4.3,3.8,2.97,Q2,24.0,True,False,1.3166666666666667,18.0
46,9.7,3.8,9.6,0.3,0.6,3.55,Q4_Highest,24.0,False,True,1.0104166666666667,14.399999999999999
47,5.1,3.7,7.1,5.8,2.3,2.6,Q1_Lowest,24.0,False,False,0.7183098591549295,16.9
50,9.4,3.0,8.5,2.2,0.9,3.18,Q3,23.999999999999996,False,True,1.1058823529411765,15.5
53,9.5,1.4,6.9,0.6,5.6,3.33,Q4_Highest,24.0,False,True,1.3768115942028984,17.1
54,7.3,2.2,6.4,3.5,4.6,3.11,Q3,24.0,True,False,1.140625,17.599999999999998
55,5.2,0.1,9.1,2.2,7.4,2.79,Q1_Lowest,24.0,False,False,0.5714285714285715,14.900000000000002
56,8.8,0.9,8.1,0.5,5.7,3.1,Q2,23.999999999999996,False,True,1.08641975308642,15.9
57,5.3,2.1,7.7,3.8,5.1,2.39,Q1_Lowest,24.0,False,False,0.6883116883116883,16.299999999999997
58,9.0,1.1,7.2,0.5,6.2,3.39,Q4_Highest,24.0,False,True,1.25,16.8
59,5.1,3.9,9.2,4.0,1.8,2.52,Q1_Lowest,23.999999999999996,False,False,0.5543478260869565,14.799999999999999
60,5.8,1.0,7.7,4.3,5.2,2.8,Q1_Lowest,24.0,False,False,0.7532467532467532,16.3
62,7.1,1.0,6.8,4.5,4.6,3.27,Q3,24.0,True,False,1.0441176470588236,17.2
63,5.1,0.5,5.2,0.2,10.0,2.85,Q1_Lowest,21.0,False,True,0.9807692307692306,15.799999999999999
64,7.4,0.4,7.5,2.8,5.9,3.26,Q3,24.0,True,False,0.9866666666666667,16.5
65,5.9,1.7,7.0,3.7,5.7,2.8,Q1_Lowest,24.0,False,False,0.8428571428571429,17.0
66,6.9,2.5,7.5,5.1,2.0,3.06,Q2,24.0,True,False,0.92,16.5
67,8.3,0.7,5.4,3.9,5.7,3.26,Q3,24.0,False,True,1.537037037037037,18.599999999999998
69,7.3,2.2,9.7,1.9,2.9,3.15,Q3,23.999999999999996,True,False,0.7525773195876289,14.299999999999999
70,5.4,1.3,9.2,0.1,8.0,2.69,Q1_Lowest,24.0,False,False,0.5869565217391305,14.8
71,9.1,1.1,5.6,4.2,4.0,3.54,Q4_Highest,24.0,False,True,1.625,18.4
